date,close__晶澳科技,close__国轩高科,close__智飞生物,close__三花智控,close__圣邦股份,close__大秦铁路,close__华能水电,close__上港集团,close__皖通高速,close__建发股份,peTTM__晶澳科技,peTTM__国轩高科,peTTM__智飞生物,peTTM__三花智控,peTTM__圣邦股份,peTTM__大秦铁路,peTTM__华能水电,peTTM__上港集团,peTTM__皖通高速,peTTM__建发股份
2024-01-22,20.0765136,19.63665,46.56812985,22.50796139,51.58919995,6.39510377,8.00454933,4.79335735,10.27201104,7.58787596,7.657659,77.890909,13.707126,27.778291,118.993968,9.765665,20.969055,9.15369,11.367536,1.874394
2024-01-23,20.47225257,19.1110225,47.1944341,22.65405374,50.98496766,6.51170454,8.12013849,4.84920229,10.38286008,7.59596538,7.808603,75.805951,13.891476,27.958591,117.600266,9.943721,21.271857,9.260335,11.490207,1.876393
2024-01-24,20.25025266,18.9126725,47.51240395,22.54691935,50.47251749,6.62830531,8.27425737,5.00742962,10.78006914,7.83055856,7.723953,75.039545,13.985069,27.826371,116.968491,10.121777,20.434835,9.562496,11.929779,1.934343
2024-01-25,20.44329606,19.23995,47.8881865,21.65088627,50.29660176,6.66418247,8.34168438,5.10050452,10.82625624,8.29974492,7.797558,76.317356,14.095679,26.720528,116.012503,10.176563,21.852228,9.740238,11.980892,2.050244
2024-01-26,20.05720926,18.942425,46.97281875,20.76459268,49.60058735,6.70005963,8.39947896,5.15634946,10.98329238,8.35637086,7.650295,75.13719,13.826245,25.626705,114.407099,10.231349,22.003629,9.846883,12.154676,2.064232
2024-01-29,18.0495579,18.2482,45.6142203,20.26787869,47.4972471,6.70005963,8.49580326,5.14704197,11.38973886,8.38872854,6.88453,72.383471,13.426347,25.013683,109.555603,10.231349,22.255964,9.829108,12.604471,2.072225
2024-01-30,17.35460166,18.44655,44.4001536,20.07308889,46.31172805,6.61933602,8.39947896,5.13773448,11.2696524,8.2107613,6.619457,73.170248,13.068992,24.773283,106.821123,10.10808,22.003629,9.811334,12.471577,2.028263
2024-01-31,16.43764551,18.545725,43.29207685,20.452929,47.53548965,6.70005963,8.41874382,5.13773448,11.48211306,7.8062903,6.269708,73.563637,12.742834,25.242064,109.643812,10.231349,22.054096,9.811334,12.706697,1.928348
2024-02-01,17.16155826,18.0002625,43.96655835,21.0372984,48.16266747,6.69109034,8.41874382,5.12842699,11.20499046,7.7253961,6.545825,71.4,12.941365,25.963266,111.09044,10.217653,22.054096,9.79356,12.400019,1.908365
2024-02-02,16.14808041,17.315955,42.7621271,20.5503239,48.04029131,6.69109034,8.54396541,5.13773448,11.69457372,7.74157494,6.159261,68.708662,12.586846,25.362264,110.808171,10.648457,22.382132,9.811334,12.941817,1.912362
