date,code,open,high,low,close,volume,name
2022-12-08,sz.000333,44.4034747000,45.3806105600,43.9624664800,44.7493635000,39078018,美的集团
2022-12-09,sz.000333,44.9309551200,46.9803462600,44.8012468200,46.9544046000,69940581,美的集团
2022-12-12,sz.000333,46.4355714000,47.5337683400,46.0896826000,47.0668184600,46663287,美的集团
2022-12-13,sz.000333,46.8765796200,47.0408768000,46.3923353000,46.6517519000,30619330,美的集团
2022-12-14,sz.000333,46.2193909000,47.6115933200,46.2193909000,47.4645905800,26085029,美的集团
2022-12-15,sz.000333,47.4732378000,48.2514876000,46.0464465000,46.3750408600,27804272,美的集团
2022-12-16,sz.000333,46.0723881600,46.8246963000,45.6313799400,46.6949880000,19744959,美的集团
2022-12-19,sz.000333,46.6949880000,47.0235823600,46.0723881600,46.4182769600,16076366,美的集团
2022-12-20,sz.000333,45.8302660000,45.9080909800,44.5764191000,44.5937135400,27245386,美的集团
2022-12-21,sz.000333,44.3515913800,45.3892577800,44.3515913800,44.6888329600,13074160,美的集团
2022-12-22,sz.000333,44.9136606800,46.0723881600,44.7666579400,45.1384884000,22812320,美的集团
2022-12-23,sz.000333,44.9482495600,45.9599743000,44.4726524600,45.2941383600,16343914,美的集团
2022-12-26,sz.000333,45.5535549600,45.7264993600,44.4121219200,44.5331830000,15387918,美的集团
2022-12-27,sz.000333,44.7839523800,45.8562076600,44.4553580200,45.7783826800,17339127,美的集团
2022-12-28,sz.000333,45.3373744600,45.6140855000,44.8790718000,45.0087801000,16322911,美的集团
2022-12-29,sz.000333,44.6369496400,45.1298411800,44.1181164400,44.7320690600,11995050,美的集团
2022-12-30,sz.000333,44.7925996000,45.3979050000,44.7061274000,44.7925996000,12773275,美的集团
2023-01-03,sz.000333,44.9655440000,45.1644300600,44.2997080600,44.8617773600,16362802,美的集团
2023-01-04,sz.000333,44.6974801800,46.5479852600,44.6628913000,46.4788075000,26134113,美的集团
2023-01-05,sz.000333,46.6949880000,47.5510627800,46.6517519000,47.4818850200,29421668,美的集团
2023-01-06,sz.000333,47.5337683400,47.6980655200,46.6171630200,46.7036352200,19500149,美的集团
2023-01-09,sz.000333,46.7814602000,47.0841129000,46.1761548000,46.7901074200,20427678,美的集团
2023-01-10,sz.000333,46.6863407800,47.0408768000,46.2020964600,46.2626270000,15434014,美的集团
2023-01-11,sz.000333,46.2193909000,47.7153599600,46.1761548000,47.1273490000,21461041,美的集团
2023-01-12,sz.000333,46.9544046000,47.5597100000,46.7036352200,47.3608239400,14581825,美的集团
2023-01-13,sz.000333,47.4472961400,48.4244320000,47.1273490000,48.3811959000,26580330,美的集团
2023-01-16,sz.000333,48.4503736600,50.4651759200,48.4417264400,49.8944594000,33018079,美的集团
2023-01-17,sz.000333,49.8858121800,50.3095259600,49.4188623000,50.1538760000,18811356,美的集团
2023-01-18,sz.000333,50.1538760000,50.5862370000,49.6091011400,49.8079872000,13035753,美的集团
2023-01-19,sz.000333,49.6869261200,49.7647511000,49.0297374000,49.6177483600,19467945,美的集团
2023-01-20,sz.000333,49.6869261200,50.0155204800,49.2545651200,49.3583317600,10860828,美的集团
2023-01-30,sz.000333,49.6696316800,50.2230537600,48.0698959800,48.1217793000,25619569,美的集团
2023-01-31,sz.000333,47.9055988000,48.5541403000,47.5597100000,47.7326544000,23259835,美的集团
2023-02-01,sz.000333,47.8104793800,48.4157847800,47.0841129000,47.9920710000,26724709,美的集团
2023-02-02,sz.000333,47.9488349000,48.0785432000,46.3663936400,46.6603991200,36767804,美的集团
