Date,AAPL,AMD,AMZN,BAC,CVX,GOOGL,GS,JNJ,JPM,KO,META,MSFT,NVDA,PFE,PG,QQQ,SPY,TSLA,WMT,XOM
2019-07-08,101354400,49689400,57668000,30924400,,29888000,1853900,4078100,6917200,9495100,9723900,16779700,329788000,23955312,5317800,17598800,45841800,88207500,14147100,7876100
2019-07-09,82312000,61419800,86914000,28750100,,29472000,1812100,4217400,8947300,10584900,14698600,19953100,342860000,14223308,7537700,19193500,41101300,92862000,16270200,7863000
2019-07-10,71588400,60388400,98638000,40574800,,30710000,1779800,4874400,9242300,7620900,20571700,24204400,452076000,15298599,5600700,28374500,58448500,137185500,13737000,8077400
2019-07-11,80767200,63081800,86356000,37376800,,26004000,3691600,5817400,11595200,10376500,13678500,22327900,682560000,38383518,4625300,23736100,50826100,112716000,11689800,6404000
2019-07-12,70380800,51509700,50186000,29632900,,21878000,2626000,17780100,10783400,7347400,15366300,18936800,506392000,33580967,7058600,20211900,40326000,138007500,11229900,6139000
2019-07-15,67789600,65565200,59626000,46462100,,21164000,2600200,10038200,12946600,5876100,16030300,16651500,289840000,20363912,6240700,15606100,33900000,165001500,10038000,7116400
2019-07-16,67467200,66912700,52364000,54920400,,25352000,5283700,10214500,16945000,7132500,12132700,22726100,341444000,19553386,7644300,20190900,36650100,122235000,10464600,10197400
2019-07-17,56430000,42557900,51176000,84958300,,19538000,2583500,8862100,13120900,8264200,12083700,20211000,348204000,16341532,7861700,16765100,36036300,146470500,8065500,7419300
2019-07-18,74162400,58473900,69738000,49468800,,25450000,2858100,6203100,9397200,11911800,11937900,30381800,442192000,13728877,5828700,28877000,51392600,71379000,9670800,11424500
2019-07-19,83717200,44617700,63712000,44863200,,23184000,1822300,8340200,10402800,10355500,12098300,48992400,344896000,23552579,6547000,29387900,58678600,105726000,11388900,11243100
2019-07-22,89111600,37777300,58000000,31224300,,28914000,1907100,12624800,9061100,12090700,13589000,25074900,315940000,12552086,4018800,18954900,43638100,102636000,13550700,8368800
2019-07-23,73420800,38532500,54070000,64030300,,20648000,3330600,5803600,12752200,33417900,14583700,18034600,428176000,19586904,8194600,23786700,44564500,75346500,17262600,8551200
2019-07-24,59966400,41952300,52626000,53171900,,27192000,3180000,6838600,10011000,15633400,32532500,20738300,366236000,18117838,9635900,20422900,47213200,166092000,12531900,8260200
2019-07-25,55638400,36705600,82730000,43251900,,54762000,2776700,8897800,10138400,19135000,39889900,18356900,392700000,17514634,7809400,23434700,55394100,336274500,11554500,9083900
2019-07-26,70475600,43502800,98542000,46978800,,121216000,2304500,4894600,12800400,11451900,24434000,19037600,274160000,21062187,5559600,20431200,45084100,150415500,14187000,7677300
2019-07-29,86693600,45922000,89864000,39176700,,41382000,1372800,7832000,8500400,12283900,16530800,16605900,248160000,64559186,7768700,20451700,38126500,139099500,11239800,7091900
2019-07-30,135742800,72198900,58218000,37598300,,28616000,1644600,5509600,7121100,8127100,11903600,16846500,197772000,95739668,18788800,18705000,45849000,121635000,9105600,6961200
2019-07-31,277125600,119190000,89414000,60607600,,39960000,1991100,8559200,13648000,16865500,14593500,38598800,359416000,56309423,12641800,41627500,104245200,137673000,18633900,13104600
2019-08-01,216071600,80878900,94266000,76913400,,35426000,3070100,7870700,15664500,19527200,17777000,40557500,421212000,51624920,11308600,63251600,142646600,123892500,22365000,17132800
2019-08-02,163448400,60410900,99124000,57492300,,34910000,2503000,6574900,11025500,13102300,15297000,30791600,428348000,29153640,12266100,55214000,116749700,92047500,16970100,21376700
2019-08-05,209572000,74333200,121164000,96207700,,47840000,2794200,9480000,15855300,19986500,23086700,42749600,589156000,46030183,12974800,75040000,178745400,105424500,22710000,19080900
2019-08-06,143299200,60578400,101406000,65115800,,36014000,2349400,7880600,10203500,19903100,18035700,32696700,361272000,31985843,9490600,41897200,120711700,83463000,21049200,12282400
2019-08-07,133457600,58577500,90538000,75388500,,30686000,2454200,6771700,17320900,17937000,15833200,33414500,372560000,32017253,9507600,49990600,140572300,71647500,21835500,15231100
2019-08-08,108038000,167278800,74024000,53141900,,30116000,2342200,5260500,10903300,10799000,14828900,27496500,309300000,23356429,7416600,38418100,87713900,79114500,13123200,14304100
2019-08-09,98478800,132483900,57596000,53499600,,20418000,1790100,4677300,9980800,9260900,11058800,23466700,341816000,25391703,6939500,33608900,93730000,58473000,12580500,13686600
2019-08-12,89927600,106936000,58110000,55674700,,22064000,1479300,6852100,9393700,6588600,10930900,20484300,279200000,44212665,4996200,24642900,65527600,69958500,17605200,9542600
2019-08-13,188874000,102009700,79880000,69919200,,28434000,2115900,5013200,12124700,8581200,13577000,25154600,351956000,45549453,6722000,40241900,94299800,72721500,20025900,12403300
2019-08-14,146189600,127521500,97872000,106591700,,35430000,3025100,7736200,19491800,17088900,18903700,32527300,419880000,38633421,10148300,51000500,135622100,143439000,27938400,18114400
2019-08-15,108909600,71674400,75182000,70192000,,28506000,1981900,7251200,13365600,12393200,12925900,28074400,477200000,30713665,7758000,36685000,99556600,122394000,59438700,12874400
2019-08-16,110481600,70469800,60360000,70841700,,24916000,1878700,5858900,11830600,14288700,12654600,24449100,1007960000,30012334,8302400,32781400,83018300,76477500,32895600,12649000
2019-08-19,97654400,67596900,56326000,44964800,,24450000,1646100,4958000,8265400,10936200,9691200,24355700,815112000,21997296,5867100,22494100,53571800,79644000,21534300,10032800
2019-08-20,107537200,47924000,38590000,47665000,,20206000,1545600,7302000,8374000,8176700,10083400,21170800,463188000,19932510,6744300,19902900,51596400,61878000,18336900,9743500
2019-08-21,86141600,41441500,40636000,47785400,,14152000,1160800,6912800,8189300,10886500,8398200,14970300,427244000,19208728,4037400,20418500,49524700,116914500,24469200,10134200
