date,close,preclose,volume,pctChg,tradestatus
2023-06-19,102.0107485000,99.5668440500,10111946,2.454500,1
2023-06-20,101.7930728000,102.0107485000,5829045,-0.213400,1
2023-06-21,99.4184288000,101.7930728000,7545785,-2.332800,1
2023-06-26,99.7251536500,99.4184288000,6656431,0.308500,1
2023-06-27,98.9435000000,99.7251536500,5825556,-0.783800,1
2023-06-28,96.5391729500,98.9435000000,7380575,-2.430000,1
2023-06-29,97.0635735000,96.5391729500,5315503,0.543200,1
2023-06-30,97.0042074000,97.0635735000,3967690,-0.061200,1
2023-07-03,98.0530085000,97.0042074000,5367211,1.081200,1
2023-07-04,102.0107485000,98.0530085000,14733679,4.036300,1
2023-07-05,101.8128615000,102.0107485000,5274306,-0.194000,1
2023-07-06,104.6327512500,101.8128615000,9772445,2.769700,1
2023-07-07,104.0687733000,104.6327512500,9051426,-0.539000,1
2023-07-10,105.8794393500,104.0687733000,9633668,1.739900,1
2023-07-11,109.9559115500,105.8794393500,14500399,3.850100,1
2023-07-12,106.8292969500,109.9559115500,11718461,-2.843500,1
2023-07-13,106.6610930000,106.8292969500,12494819,-0.157500,1
2023-07-14,105.4144049000,106.6610930000,10925590,-1.168800,1
2023-07-17,101.1994118000,105.4144049000,18621481,-3.998500,1
2023-07-18,103.0298665500,101.1994118000,10663011,1.808800,1
2023-07-19,102.7726134500,103.0298665500,8076367,-0.249700,1
2023-07-20,100.1802937500,102.7726134500,5803620,-2.522400,1
2023-07-21,99.5668440500,100.1802937500,5566193,-0.612300,1
2023-07-24,100.1110333000,99.5668440500,3868491,0.546600,1
2023-07-25,101.8425445500,100.1110333000,7198407,1.729600,1
2023-07-26,100.3979694500,101.8425445500,4912577,-1.418400,1
2023-07-27,99.9032519500,100.3979694500,4786542,-0.492800,1
2023-07-28,100.6552225500,99.9032519500,6668602,0.752700,1
2023-07-31,101.5959564000,100.6552531000,6471328,0.934600,1
2023-08-01,102.5366597000,101.5959564000,4651283,0.925900,1
2023-08-02,104.5963048200,102.5366597000,9410116,2.008700,1
2023-08-03,106.0816258200,104.5963048200,6714869,1.420100,1
2023-08-04,102.1900848000,106.0816258200,9146036,-3.668400,1
2023-08-07,103.4575587200,102.1900848000,4200091,1.240300,1
2023-08-08,103.3783416000,103.4575587200,3678134,-0.076600,1
2023-08-09,102.6158768200,103.3783416000,3603637,-0.737500,1
2023-08-10,102.3683233200,102.6158768200,2534674,-0.241200,1
2023-08-11,99.8036690600,102.3683233200,4737680,-2.505300,1
2023-08-14,99.0214000000,99.8036690600,4453797,-0.783800,1
2023-08-15,91.2581222400,99.0214000000,22530482,-7.840000,1
2023-08-16,87.1883427000,91.2581222400,16200577,-4.459600,1
2023-08-17,87.1388320000,87.1883427000,9960642,-0.056800,1
2023-08-18,87.3665812200,87.1388320000,8049074,0.261400,1
2023-08-21,86.2674436800,87.3665812200,5672338,-1.258100,1
2023-08-22,89.1291621400,86.2674436800,8786460,3.317300,1
2023-08-23,87.7428625400,89.1291621400,5123591,-1.555400,1
2023-08-24,88.0102203200,87.7428625400,5136809,0.304700,1
2023-08-25,88.3072845200,88.0102203200,5780599,0.337500,1
