name,pubDate,roe
广汽集团,2017-10-27,0.187542
中国人寿,2017-10-27,0.085645
金风科技,2017-10-27,0.11026
长城汽车,2017-10-27,0.061101
光大证券,2017-10-27,0.047236
中航机载,2017-10-27,0.036169
芒果超媒,2017-10-27,0.017639
招商轮船,2017-10-27,0.044564
五粮液,2017-10-27,0.142572
中国联通,2017-10-28,0.016772
兴业银行,2017-10-28,0.124319
中国核电,2017-10-28,0.09794
国电南瑞,2017-10-28,0.096526
浦发银行,2017-10-28,0.10669
云铝股份,2017-10-28,0.044799
华鲁恒升,2017-10-28,0.099465
东方盛虹,2017-10-28,0.056821
杰瑞股份,2017-10-28,0.006194
陕西煤业,2017-10-28,0.210327
新华保险,2017-10-28,0.082165
分众传媒,2017-10-28,0.48094
山金国际,2017-10-28,0.058811
中国建筑,2017-10-28,0.129655
宝信软件,2017-10-28,0.07598
特变电工,2017-10-28,0.071085
东方电气,2017-10-28,0.020179
阳光电源,2017-10-28,0.117555
三六零,2017-10-28,0.026684
兆易创新,2017-10-28,0.235562
浙能电力,2017-10-28,0.064047
航发动力,2017-10-28,0.017831
南京银行,2017-10-28,0.11611
中航西飞,2017-10-28,0.008258
宝钢股份,2017-10-28,0.083852
中国太保,2017-10-28,0.081685
北方稀土,2017-10-28,0.04082
浪潮信息,2017-10-28,0.045287
杭州银行,2017-10-28,0.091845
东方证券,2017-10-28,0.063988
中国中铁,2017-10-28,0.075926
华友钴业,2017-10-28,0.227842
中煤能源,2017-10-28,0.027862
交通银行,2017-10-28,0.084542
国投资本,2017-10-28,0.069474
中国化学,2017-10-28,0.046414
上海银行,2017-10-28,0.097165
中国国航,2017-10-28,0.107169
申万宏源,2017-10-28,0.067106
正泰电器,2017-10-28,0.120741
洋河股份,2017-10-28,0.204748
新易盛,2017-10-28,0.093785
招商银行,2017-10-28,0.139948
天山铝业,2017-10-28,0.095315
拓普集团,2017-10-28,0.114162
古井贡酒,2017-10-28,0.136466
中国神华,2017-10-28,0.117926
英维克,2017-10-28,0.092539
招商证券,2017-10-28,0.06038
中国平安,2017-10-28,0.15947
广发证券,2017-10-28,0.078543
用友网络,2017-10-28,-0.048101
中油资本,2017-10-28,0.073369
上海机场,2017-10-28,0.115946
华电国际,2017-10-28,-0.005671
中国中车,2017-10-28,0.061214
恒生电子,2017-10-28,0.112144
海螺水泥,2017-10-28,0.122598
洛阳钼业,2017-10-30,0.057288
北方华创,2017-10-30,0.024872
巨人网络,2017-10-30,0.131493
世纪华通,2017-10-30,0.150734
比亚迪,2017-10-30,0.052989
先导智能,2017-10-30,0.160681
温氏股份,2017-10-30,0.133925
长电科技,2017-10-30,0.023958
领益智造,2017-10-30,0.043436
华润三九,2017-10-30,0.105909
中际旭创,2017-10-30,0.052828
新奥股份,2017-10-30,0.081433
光启技术,2017-10-30,0.018091
宁波港,2017-10-30,0.065567
中天科技,2017-10-30,0.098555
东方财富,2017-10-30,0.035083
同花顺,2017-10-30,0.160373
大华股份,2017-10-30,0.162598
三环集团,2017-10-30,0.131655
工商银行,2017-10-31,0.112351
格力电器,2017-10-31,0.274887
农业银行,2017-10-31,0.117474
兴业证券,2017-10-31,0.061066
国投电力,2017-10-31,0.100211
中国铁建,2017-10-31,0.077808
中钨高新,2017-10-31,0.041253
伊利股份,2017-10-31,0.20891
国泰海通,2017-10-31,0.06376
中国中冶,2017-10-31,0.046943
上汽集团,2017-10-31,0.120918
招商蛇口,2017-10-31,0.066169
春秋航空,2017-10-31,0.151257
长江电力,2017-10-31,0.137346
江苏银行,2017-10-31,0.107144
同仁堂,2017-10-31,0.102237
双汇发展,2017-10-31,0.228041
盐湖股份,2017-10-31,-0.035753
华工科技,2017-10-31,0.077839
恒立液压,2017-10-31,0.076255
京东方A,2017-10-31,0.079737
上海医药,2017-10-31,0.082798
中国电建,2017-10-31,0.081867
铜陵有色,2017-10-31,0.02345
华泰证券,2017-10-31,0.05529
美的集团,2017-10-31,0.226654
中国银行,2017-10-31,0.100595
恒力石化,2017-10-31,0.177759
潍柴动力,2017-10-31,0.131598
中远海控,2017-10-31,0.138903
海航控股,2017-10-31,0.046567
藏格矿业,2017-10-31,0.113022
方正证券,2017-10-31,0.036648
士兰微,2017-10-31,0.053213
徐工机械,2017-10-31,0.035128
中国银河,2017-10-31,0.055398
复星医药,2017-10-31,0.101389
中金黄金,2017-10-31,0.022727
中国船舶,2017-10-31,-0.019763
海南机场,2017-10-31,0.043355
山东黄金,2017-10-31,0.056379
兖矿能源,2017-10-31,0.099862
中国石油,2017-10-31,0.014574
生益科技,2017-10-31,0.15363
光大银行,2017-10-31,0.097052
中联重科,2017-10-31,0.034595
青岛啤酒,2017-10-31,0.109862
海大集团,2017-10-31,0.191572
中国交建,2017-10-31,0.070407
上海电气,2017-10-31,0.038461
海尔智家,2017-10-31,0.200897
中航沈飞,2017-10-31,-0.093514
国电电力,2017-10-31,0.046616
云南白药,2017-10-31,0.15682
北京银行,2017-10-31,0.105403
隆基绿能,2017-10-31,0.201379
中远海能,2017-10-31,0.045495
三一重工,2017-10-31,0.075718
上港集团,2017-10-31,0.077369
华夏银行,2017-10-31,0.090253
海康威视,2017-10-31,0.24028
中信证券,2017-10-31,0.05472
中国石化,2017-10-31,0.053716
南方航空,2017-10-31,0.150213
四川路桥,2017-10-31,0.039722
民生银行,2017-10-31,0.11283
三六零,2018-02-02,0.380201
英维克,2018-02-06,0.134594
胜宏科技,2018-02-09,0.135974
牧原股份,2018-02-10,0.25715
南山铝业,2018-02-10,0.050027
同花顺,2018-02-28,0.237051
芒果超媒,2018-03-01,0.043976
山东黄金,2018-03-07,0.071438
先导智能,2018-03-08,0.288476
中信特钢,2018-03-08,0.101889
大华股份,2018-03-09,0.254362
恒力石化,2018-03-10,0.264208
深南电路,2018-03-13,0.188822
卫星化学,2018-03-13,0.178249
中航西飞,2018-03-13,0.030336
万华化学,2018-03-13,0.528955
浙商证券,2018-03-13,0.092161
东方盛虹,2018-03-13,0.064823
华能国际,2018-03-14,0.022835
顺丰控股,2018-03-14,0.179374
华润三九,2018-03-15,0.141077
中国卫星,2018-03-15,0.081422
平安银行,2018-03-15,0.109324
中兴通讯,2018-03-16,0.157393
中国联通,2018-03-16,0.004
中航光电,2018-03-17,0.183479
福耀玻璃,2018-03-17,0.170044
东方财富,2018-03-17,0.046315
中航机载,2018-03-17,0.082783
宝信软件,2018-03-20,0.09522
天孚通信,2018-03-20,0.142062
云铝股份,2018-03-20,0.068774
智飞生物,2018-03-20,0.158378
亿纬锂能,2018-03-20,0.160504
中国巨石,2018-03-20,0.183631
中煤能源,2018-03-21,0.027604
新华保险,2018-03-21,0.087647
中国平安,2018-03-21,0.207955
沪电股份,2018-03-22,0.059393
中国石油,2018-03-23,0.019129
海螺水泥,2018-03-23,0.191003
中信证券,2018-03-23,0.078178
中国人寿,2018-03-23,0.103283
中国铝业,2018-03-23,0.035533
海天味业,2018-03-23,0.324475
海航控股,2018-03-23,0.058514
中国神华,2018-03-24,0.146738
天齐锂业,2018-03-24,0.314039
兖矿能源,2018-03-24,0.139655
紫金矿业,2018-03-24,0.111778
思源电气,2018-03-24,0.058213
金风科技,2018-03-24,0.1432
上海医药,2018-03-24,0.107249
中科曙光,2018-03-24,0.102061
长城汽车,2018-03-24,0.104269
圆通速递,2018-03-24,0.165594
招商银行,2018-03-24,0.158969
用友网络,2018-03-24,0.067448
上海机场,2018-03-24,0.155323
广发证券,2018-03-24,0.105217
中国石化,2018-03-26,0.071024
恒生电子,2018-03-27,0.172167
华电国际,2018-03-27,0.010195
